X,Y,LAYER
175.02,175.02,A
180.17,175.02,A
185.35,175.02,A
183.98,169.83,A
180.17,166.02,A
175.02,164.64,A
169.83,166.02,A
166.02,169.83,A
164.64,175.02,A
166.02,180.17,A
169.83,183.98,A
175.02,185.35,A
180.17,183.98,A
183.98,180.17,A
177.59,170.50,A
172.41,170.50,A
169.83,175.02,A
172.41,179.50,A
177.59,179.50,A
175.02,175.02,B
178.65,171.35,B
182.32,167.68,B
177.70,165.00,B
172.33,165.00,B
167.68,167.68,B
165.00,172.33,B
165.00,177.70,B
167.68,182.32,B
172.33,185.00,B
177.70,185.00,B
182.32,182.32,B
185.00,177.70,B
185.00,172.33,B
173.68,170.01,B
170.01,173.68,B
171.35,178.65,B
176.36,179.99,B
179.99,176.36,B
175.02,175.02,C
180.17,175.02,C
185.35,175.02,C
183.98,169.83,C
180.17,166.02,C
175.02,164.64,C
169.83,166.02,C
166.02,169.83,C
164.64,175.02,C
166.02,180.17,C
169.83,183.98,C
175.02,185.35,C
180.17,183.98,C
183.98,180.17,C
177.59,170.50,C
172.41,170.50,C
169.83,175.02,C
172.41,179.50,C
177.59,179.50,C